,Feeding,,,Lying,,,Standing,,,Lying down,,,Standing up,,,Normal walking,,,Active walking,,,,,
,-0.8,0,0.3,0,0.2,-0.7,-0.8,-0.1,0.4,0.5,-1.4,1.5,-1,-1.4,-0.1,-0.1,0.7,-0.4,0.7,-1.5,1.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,0.1,-0.3,0.9,0.3,-0.2,0.9,0.1,-0.1,0.5,1,1.4,-0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,0.4,-0.6,-1.1,1.3,-0.1,0.9,0.6,0,0.3,0.1,-2.6,1.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.3,2.2,1,-1.3,0.7,-0.4,0.3,0.5,-0.4,0.2,0.6,1.8,-2.9,,,
99,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,-0.9,0.9,0,0.2,-0.1,0.8,0.3,0.7,0.2,2.3,-0.4,-2.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,1.3,-0.8,-0.4,-0.7,-1.4,-0.8,0.7,0.5,0.5,-4.1,-0.5,-2.5,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,1.8,0.5,-0.1,-0.2,0.2,-1.4,0.4,0,0.4,-1.2,-1.9,-0.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,-0.6,1.6,0.4,-0.7,0.5,-0.3,0.2,0.2,-0.3,-2.2,-2.3,-0.4,,,
,-0.8,0.2,0.3,0,0.1,-0.7,-0.8,0,0.4,0.7,-1.2,0.9,2.1,-1.2,-0.5,0.2,0.4,-0.3,-1.7,-1.1,0.7,,,
,-0.8,0.1,0.3,0,0.1,-0.7,-0.8,0,0.4,2,-1.6,0.6,-0.8,-0.2,0,0.4,0.2,0.2,-0.9,-0.6,-2.2,,,
100,-0.9,0,0.2,0,0.1,-0.7,-0.8,0,0.4,2.1,-0.7,0.6,-1,0.4,-0.1,-0.5,-0.7,-0.6,0.2,-0.3,1.9,,,
,-0.9,0.4,0.2,0,0.1,-0.7,-0.8,-0.1,0.4,0.6,1.2,1.9,-2,0,-2.3,-0.8,0.4,0,2.4,-1.4,-2.2,,,
,-0.8,0.1,0.2,0,0.1,-0.7,-0.8,0,0.4,-0.3,0.9,-2.7,1.2,2.2,0.3,0,-0.1,-0.3,2.4,0.1,1.9,,,
,-0.8,-0.1,0.4,0,0.1,-0.7,-0.8,0,0.4,0.2,-0.8,0,0.8,0.1,-1.3,0.7,-0.2,0.2,-0.1,1.2,2.8,,,
,-0.8,0.4,0.3,0,0.1,-0.7,-0.8,0,0.4,0.1,0.2,-2.5,-0.2,1.3,-0.4,-0.1,-0.3,0.2,-1.3,-0.3,-0.9,,,
,-0.8,0.2,0.2,0,0.1,-0.7,-0.8,0,0.4,-1.5,1,0,-0.7,0.2,0.1,-1.4,-0.1,-0.3,2.2,-1.4,0.9,,,
101,-0.8,0.2,0.2,0,0.1,-0.7,-0.8,-0.1,0.4,1.6,0.1,-0.7,0.4,0.4,0.3,0.7,0.5,-0.5,-2.2,0.9,-0.9,,,
,-0.8,0.2,0.2,0,0.1,-0.7,-0.8,-0.1,0.4,0.1,0.5,0.4,-0.4,0.2,-1.7,-0.3,0,0.4,-0.2,-2.1,1.9,,,
,-0.8,0.2,0.2,0,0.1,-0.7,-0.8,-0.1,0.4,-0.9,-2.1,-0.4,0.1,-1.3,0.3,0.3,0.2,-0.2,-2.3,-0.1,1,,,
,-0.8,0.2,0.2,0,0.1,-0.7,-0.8,-0.1,0.4,0.2,1.3,0,-0.3,1.5,-1.2,0.3,-0.1,-0.6,-0.9,1.2,-0.7,,,
,-0.8,0.3,0.2,0,0.1,-0.7,-0.8,-0.1,0.4,-0.1,-2.4,0.7,-0.1,-1.4,-1,0,0.1,-0.1,1.7,-1.8,-1.3,,,
,-0.8,0.3,0.2,0,0.1,-0.7,-0.8,0,0.4,0.5,-1.1,0.3,2.3,0.5,-0.4,-0.5,0.3,-0.2,-1.3,0,0,,,
102,-0.7,-0.2,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,1.1,0.2,0.8,1.1,1,0.6,0.2,0.5,-0.6,0.7,-2.2,-3.9,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,0,1.2,-1.3,-1.4,0.2,0.9,-0.3,0.2,-0.1,0.1,-0.6,-0.9,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,0.4,0,-0.1,0.1,0.5,0,0.8,0.2,0.2,2.6,-0.3,-0.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,-0.5,-1,0.5,-1.3,-0.2,0,0,0.5,0.8,-2.7,0.8,0.8,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,0.4,0.4,-0.7,-1.2,-0.4,-0.4,1,-0.4,0.3,0.1,2.3,0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,0.8,-1,-0.7,1.6,-0.6,1.6,-1.1,-0.2,-0.1,-0.2,0.7,-1.9,,,
103,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,1,0.2,-0.3,0.7,0.7,-0.4,-0.3,-0.1,0.3,2.1,-2.1,-0.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,-0.1,0.4,-0.1,0.6,0.3,0.6,1,0.4,0,0,-1.2,-1.5,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,-0.5,-1.1,1.1,-0.1,0.8,-1.1,-0.6,0.5,0.5,-0.4,-0.4,0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,0.9,1,-0.4,-0.1,-1.8,0.5,-0.1,0.1,0.2,-1.1,1.9,0.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,-0.1,0.4,-0.1,0.1,-1.5,1.2,-1.3,0.9,0.1,0.5,0.3,2.4,-0.2,-1.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,-0.4,-1.4,-1.7,-1.6,1.5,-0.8,0.5,0.5,-0.5,-0.2,-2.8,1.3,,,
104,-0.9,0,0.3,0,0.1,-0.7,-0.8,0,0.4,-0.2,-0.8,0.1,2.4,-0.6,-0.5,0.1,0.1,0.2,1.1,0.1,-1.5,,,
,-0.8,0.1,0.3,0,0.1,-0.7,-0.8,0,0.4,-2,0.6,-0.9,-0.7,0,1,-0.2,0,0.1,0.4,0.3,2.2,,,
,-0.8,0.1,0.3,0,0.1,-0.7,-0.8,0,0.4,2.3,1.8,-0.7,0.3,-0.8,2.8,0.7,0.6,0.3,-0.5,-1.2,-1.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,1.6,1.9,0.9,0.9,0.2,0.4,0.6,0.6,0.3,0.6,-2.8,0.8,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,0,1.1,0.2,1.7,0.4,-2,0.1,0.1,-0.3,0.3,-4.4,-1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,0.4,-0.2,-0.2,0.3,-1,-0.5,0.3,-0.4,-0.5,0.2,-2.3,1.4,,,
105,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,0.3,1.5,1.7,2,-0.4,0.4,-0.1,0,-0.7,2.9,-1.9,-2.8,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1.2,1.5,0.9,0,-0.2,0.9,0.1,0.5,0.3,-0.1,-1.5,-0.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,0.4,-0.8,0.2,-1.4,0.1,2.2,-0.9,-0.4,-1,-0.8,1.4,-0.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-0.1,1.2,-0.1,-1.4,0.2,1.5,-0.5,-0.5,0,-0.7,1.6,-0.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-1.4,-2,-0.5,-0.2,-0.8,-0.3,-0.2,1.6,0.7,-0.1,-0.7,3.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-0.4,-0.6,2,0,1.1,0.4,-0.3,0.2,0.2,0.2,-2.9,1,,,
106,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,0.3,-0.8,-0.7,-0.9,-1.8,-0.3,0,0.3,-0.3,-2.3,1.2,1.2,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,0.1,-1.7,-0.3,0.7,0.6,1.7,0,-0.8,-0.4,0.4,2.1,-0.1,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1,-0.4,-0.5,0.3,0,-1.4,0.2,-1,0.5,0.7,-0.3,2.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,0.3,1.5,-0.1,1,1.6,0.1,-0.3,0.2,0.1,0.1,3.1,0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1.9,-0.2,0.2,-1.5,-0.4,-0.6,-0.4,0.3,0,-3.4,-0.6,2.3,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,0.1,0.2,1.8,0,-0.1,-1.5,0,-0.7,-0.2,0.1,0.1,-1.6,-3.3,-0.8,,,
107,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1.3,0,0.1,1.8,0.4,0.2,0.4,-0.2,-0.7,2.3,1.1,-0.5,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-1,-0.8,0.5,0,0.6,0.5,0.1,0,-0.2,0.3,0,-1.9,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-0.3,-0.8,0.6,-0.6,-0.5,-0.2,0,-0.3,0.2,0.3,2,-0.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-1.7,1.5,0.7,0.9,0,-1.6,1.3,-0.2,0.4,1.3,-1,-1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,1.1,0.6,0.1,-0.1,-0.1,-0.5,0.6,0,0.3,2.5,0.4,-0.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-1,1.5,0.2,-0.5,-0.7,-0.3,-0.5,0.2,-0.1,-0.6,-1.6,-0.6,,,
108,-0.9,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-0.5,-0.6,-0.4,-0.8,-0.4,-1.2,0.4,0.4,0.1,-0.7,-2.2,4.3,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,-1.3,1.9,-0.2,-0.4,0.3,-1.1,-1.1,0,0.4,-0.8,-0.9,1.3,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,-0.6,0,0.7,-0.6,-0.2,-0.9,-0.1,0.3,-0.7,0.1,-0.3,0.2,,,
,-0.9,0.1,0.3,0,0.1,-0.7,-0.8,0.1,0.2,-2,-0.9,-0.1,-0.7,-1.1,0,0.6,-0.7,-0.4,-1.8,-2.1,0.9,,,
,-0.9,0,0.2,0,0.1,-0.7,-0.8,0.3,0.3,1.4,-1.4,-2.2,-1.2,-1.2,0.8,0.1,-0.5,-0.1,2.6,-0.6,-1.4,,,
,-1.1,-0.7,0.9,0,0.1,-0.7,-0.8,0.2,0.3,-1.9,0,1.8,-0.9,0.1,1.4,-0.7,0.7,0.3,0.8,3,-2,,,
109,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,-1,-0.2,-0.3,-2.1,0.1,-1.6,-0.2,0.4,0.5,-2.3,1.9,0.7,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,-0.1,0.2,-1.6,-0.1,0.2,0.2,-0.1,0.2,0.2,1.5,0.4,0.3,,,
,-0.9,0.2,0,0,0.1,-0.7,-0.8,0.2,0.3,1.5,-0.5,-0.3,-2.2,-0.7,0.8,-0.3,0.7,-1,-0.4,1.4,-0.3,,,
,-0.9,0,0.3,0,0.1,-0.7,-0.9,0.9,0.1,-1,-2.1,1.1,0.3,0.5,-1.4,-0.7,-0.6,-0.3,0.2,0.1,-2.5,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-0.5,0.3,-1.7,0,-1.6,0.7,-0.4,0,-0.7,-0.1,-1.9,1.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0,0,0.4,-2.8,-0.6,-0.6,-0.6,0.7,0.6,0.3,-1.6,-2.7,0.9,,,
110,-0.8,0,0.3,0,0.1,-0.7,-0.9,0.1,0.2,-0.6,-0.3,1.4,-0.3,0,0.5,-0.1,0.8,-0.1,-3.3,0.5,-1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.2,-1.4,0.4,-1.4,0.3,-0.8,-1.3,0,0.8,0.9,-2.4,0.4,0,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.2,0.6,0,-0.3,-0.7,0.2,-1.3,-0.9,-0.5,-0.2,1.8,-1,-0.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.2,-1.6,-0.3,0,-2.1,0.7,-0.2,1,-0.1,-0.2,-0.3,-1,1.3,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.8,0.1,0.2,-0.4,1,0.2,-0.9,-0.3,-0.6,-0.2,0.8,-0.6,-1.2,0,0.9,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.8,0.1,0.2,0.3,-0.9,1.5,0.8,0.1,1,-0.7,0.2,-0.6,-1,0.6,1.1,,,
111,-0.8,0,0.4,0,0.1,-0.7,-0.8,0.1,0.2,-1.8,0.6,1.1,0.2,-0.2,-1.1,-0.4,0.5,0.6,-0.9,-2.1,-1.2,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.8,0.1,0.2,0.6,-0.1,0.5,0,0.5,-0.5,-0.8,0.5,0,1.6,-1.1,0.2,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.9,0.1,0.2,0.3,1.2,0,0.3,-1,-0.3,-0.2,0.4,-0.6,0.6,-2,1.1,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.8,0.2,0.3,-0.6,0.5,-0.7,0.5,2.2,1.8,0.9,-0.5,0.9,1.6,-3.6,0.5,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,1.3,0.5,-0.1,0,-1.7,-1.8,-0.8,-0.1,-0.2,-0.8,-0.5,-0.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1.3,1.2,1.1,-0.2,-0.4,-0.2,0.1,0.2,-0.2,0.6,-0.1,-1.1,,,
112,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1.2,-1.3,1,0.4,0,-1.2,0.3,0.9,-0.2,1.1,1.9,-0.2,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-0.6,0.9,0.3,-0.5,-1.2,-1.3,-0.3,0.6,0,3.3,3.1,1.2,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,-2.1,-1.1,-0.3,0.8,0.2,0.6,-0.6,-0.1,0.7,-1.9,-0.3,3.8,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,-2.2,-0.7,0.4,-0.4,-0.5,0,0.8,-0.1,1,-2.2,1.7,0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,0.9,-0.2,-1.1,0.2,0.9,-2.4,-1,-0.3,-0.2,-2.2,-0.9,-1.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-0.2,-0.6,0.1,-1.3,1,1.2,0.3,0.7,-0.1,1.7,0.8,-4.1,,,
113,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,0.1,0.5,0,0.8,0.8,1.4,0.2,0.2,-0.4,-2.2,-0.7,1.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,0.1,0.4,0.9,1,1,1.6,-0.1,0.2,-0.2,-0.8,1.2,-2.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-0.2,1,0.5,-0.3,-0.4,0.1,-0.6,-0.9,0.1,0.1,-1.2,-1.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1,0.3,-0.8,-1.3,2.2,-1.1,-0.4,-0.5,-0.2,0.4,1.8,-2.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-1.5,-0.4,-0.1,1.4,-1,-0.8,0.4,0.2,0.4,0.4,0.8,0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-0.1,-0.2,1.4,1.1,0.2,0,-0.4,0.7,-0.5,0.4,2.1,0.4,,,
114,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,1.1,0.5,-0.3,0.7,1.2,1.2,-0.1,-0.3,-0.5,1.1,0.4,-0.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,1.5,-1.4,-0.7,-1.2,-0.8,0.4,0.5,-0.7,-0.6,-2.3,2.8,-0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,0.5,-0.5,-0.4,1.4,-0.6,-0.4,-0.2,-0.5,-1,0.2,-1.2,-3.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.2,0.1,0.1,0.1,0,0.7,0.7,0.4,-0.3,-0.6,1.7,-0.9,1.8,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.2,0.3,-0.5,2.5,0.1,1.1,0.2,1.2,-1,-0.1,0.2,1,0.2,-1.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-0.8,0.7,-0.5,1.3,0.3,1.2,0.6,0,-0.2,-2.5,-2.6,-0.4,,,
115,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,-0.1,0,-1,0.1,0.5,-0.6,0.2,0.3,-0.1,2.6,-4.8,0.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,1.1,-0.6,0.5,-0.8,-0.7,0.8,0.3,-0.4,-0.6,-0.1,0.1,-1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,0.6,2.1,-1,1.7,-1.3,-0.9,-0.3,0,-0.2,-0.3,1.1,-1.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,-1.7,0,0.2,-0.2,0.1,0,0.2,-0.2,0.1,-0.9,-1.1,0.9,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-0.4,-0.7,1.6,-0.1,1.2,-1,0.2,-0.3,-0.2,1.5,-0.7,2,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-0.3,0,1.1,2.1,-1.4,-0.4,0.2,-0.3,0,-0.6,-0.3,-1.7,,,
116,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,-0.1,-0.4,0.5,0.7,0.3,-0.7,-0.7,0.3,0.7,-1.4,-0.3,1.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,0.7,2.1,-0.8,-0.3,-0.1,-0.6,-0.2,0.5,0.5,1.2,-0.9,-1.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-0.9,-0.4,0,-0.9,2,0.1,-0.1,-0.6,-0.3,-0.1,-2,-0.3,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,0.7,0,0.5,-0.9,1.9,0,-1,-0.5,-0.3,-3.2,0,0.4,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,1.4,0.5,-1.6,-1,-1.4,0.4,0.5,0.3,0.3,3.6,-1.2,2.8,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,0.3,-1.4,2.3,-0.6,0.5,0.9,0.5,0.7,-0.2,-1.7,-2.5,-1.7,,,
117,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,0.9,-0.5,0,0.1,-1.6,-0.6,-0.6,0.4,1,-1.6,4.7,3.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-0.4,-0.1,0.4,1.6,1.4,-1.5,0,0.3,0.3,0.7,0.1,-2.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,0.1,-1.3,-1.6,-1.4,-0.2,0,0.8,-0.8,0.3,0.4,2.4,-2.9,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-1,-1.2,0.6,1.6,-0.5,-1.3,0.5,0.1,0,-0.5,-0.2,-2,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.9,0,0.3,0.7,-2.1,-1.8,0.3,-1.1,-0.7,-0.2,-0.2,0.8,-1.5,1.7,-0.4,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.9,0,0.3,-1.4,-1.4,-1.1,0.6,-0.5,0.5,-0.2,0.6,0.1,-0.3,0.1,-1.3,,,
118,-0.8,0,0.4,0,0.1,-0.7,-0.9,0,0.3,0.3,0.1,-0.9,0.7,2.8,-1.1,-0.1,-0.1,0.3,-0.1,1.2,-2,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,0.6,0.7,0,-1.5,0,-0.8,-1,0.4,-0.3,2.3,-0.9,0.6,,,
,-0.8,0,0.4,0,0.1,-0.7,-0.9,0,0.3,0.4,-1.1,0.3,0.6,-0.4,0.2,0.1,-0.2,-0.2,1.2,-1.2,1.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-1,-0.2,0.2,-0.1,-0.8,1.3,0.3,-0.7,-1.1,0.2,0.1,0.5,0.2,-2.6,0.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.3,0.6,1.4,0.5,-1.8,-0.9,2.1,-0.1,0.7,0,1.9,2.7,-1.2,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0.2,0.2,0.6,-0.1,-0.5,0.2,0.4,0.6,-0.5,-0.1,0.2,2.1,1.6,-0.7,,,
119,-0.8,0,0.3,0,0.1,-0.7,-0.8,0.1,0.2,-0.3,1.2,1,1.3,-0.3,0.5,-0.8,-0.1,0,-0.1,-2.1,0.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0.2,0.2,1.9,0.8,-0.7,1.4,0.8,-0.1,1.1,-0.5,-0.8,-0.5,-0.9,-1.2,,,
,-0.8,0,0.3,0,0.1,-0.7,-1,0.5,0.5,1.6,-1.1,0.5,0.3,2.1,2.7,0.6,0.5,0.3,0.7,1.1,1.7,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.3,-0.4,-0.4,1,1,0.5,0,0.4,-0.8,-0.2,-3.5,-0.6,1.6,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0.1,0.2,0.4,-0.1,-0.4,1,0.2,0.3,0.5,-0.3,0.8,-2,0.4,1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.8,0,0.4,-1.1,2.2,-0.9,0.2,0.8,1.4,0,-0.4,0.4,1.6,0.6,-0.7,,,
120,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,0.2,-0.9,0.6,-0.6,-0.4,-0.5,0.6,1,-0.2,-1.3,-1.7,2.1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-1,0.9,-1.6,-0.5,-0.7,0.6,0.2,-0.1,0,-0.7,1,1,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,-0.4,0,0.4,0,0.4,1,0,0.7,-1.2,0.4,-2.9,0.9,,,
,-0.8,0,0.3,0,0.1,-0.7,-0.9,0,0.3,0.3,-0.6,-0.4,-0.6,-0.2,0.8,0.5,-1.5,0.3,-1.1,0.2,-0.1,,,
,-0.8,0,0.3,0,0.3,-0.6,-0.8,0,0.3,-0.8,1.5,1.1,1,0.7,-0.6,0,-0.7,0.3,-1.1,0.2,2.3,,,
,-0.8,0,0.3,0,0.4,-0.6,-0.9,0,0.3,-1.5,-0.4,-1.4,-0.2,0.5,-1.4,0.7,0.3,0.2,-0.7,-1,-0.2,,,
121,-0.8,0,0.3,0,0.3,-0.6,-0.9,0,0.3,-0.9,-0.1,1.1,-0.4,-0.5,0.1,0,-0.2,0.9,-2.4,-0.4,-1.8,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.9,0,0.3,0,0.4,-1.6,-0.7,0.5,1.2,0.2,-0.1,0.3,0.9,-1,-1.8,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.9,0,0.3,-0.5,0.3,-0.4,-0.7,-0.5,0.7,0.7,-0.4,0.1,-1.8,-0.3,-1.8,,,
,-0.8,0,0.3,0,0.2,-0.7,-0.9,0,0.3,-0.1,1.8,1.1,2.2,0.5,-0.2,-0.1,0.8,0.8,0.9,-1.2,0.9,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.8,0,0.3,-0.5,0.1,0.3,-0.2,0.8,0.2,0.3,1.4,-0.2,-0.2,0.7,1.1,,,
,-0.8,0,0.3,0,0.2,-0.7,-0.8,0,0.3,2.2,-0.8,-0.1,-1.1,0.1,-1,-0.5,0.3,0.7,1.3,-1.4,0.9,,,
122,-0.8,0,0.3,0,0.2,-0.7,-0.8,0,0.3,0.4,0.5,0.5,-0.7,-0.4,-1.3,-0.7,-0.1,-0.2,0.5,-1.7,-2,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.8,0,0.3,-1.5,1,-0.4,1.4,1.5,0.1,0.5,-0.1,0.3,1.2,-1.5,1.1,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.9,0,0.3,0.5,-0.2,-1.2,-0.4,0.8,1,-0.5,-0.5,0,0.2,2,1.9,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.8,0,0.3,0.6,1.5,-0.7,0.5,-1.9,0.1,-0.3,-0.5,-0.3,-0.5,1,0,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.9,0,0.3,-0.7,1.9,-1.5,1.9,1.2,-0.9,0,-0.2,0,-0.6,-1.2,1.2,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.9,0,0.3,-0.9,-1.1,1.5,0.5,-0.1,1.1,0,-0.1,0.8,-1.8,-0.4,0.8,,,
123,-0.8,0,0.3,0,0.2,-0.6,-0.9,0,0.3,-1.1,1.6,0,-1.2,-0.5,2,0.7,-0.8,-0.5,-1,-1.9,-0.1,,,
,-0.8,0,0.3,0,0.2,-0.7,-0.9,0,0.3,0.8,0.4,2.8,-1,-0.9,-0.2,0.1,0.3,0.2,1.6,2.1,1.1,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.8,0.1,0.3,0.7,0.8,-0.5,0,1.1,0.8,-0.8,-1,-0.6,-1.2,-0.8,0.7,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.8,0.1,0.3,-1.4,-0.3,0.3,1.2,-1.2,0,-0.4,-0.4,0.1,-1.4,0.1,-1.5,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.4,0.3,0.4,0.6,-1.3,-0.6,0.2,-1,0.3,-0.5,1.5,-0.7,-0.5,-0.9,0.2,,,
,-0.8,0,0.3,0,0.2,-0.6,-0.8,0,0.3,-2,-2.1,0.4,0.9,0.3,0.3,-0.4,0.1,-0.7,-0.5,0,1.2,,,
124,-0.8,0,0.3,0,0.2,-0.6,-0.8,0.1,0.3,1.1,0.3,2.6,1.4,0.2,0.6,-0.1,-0.9,0.2,-1.7,-1,1.5,,,
